M = 50  (0/123 already done)
  test_r=0.5179  n_iter=1359  wall=152.4s
  test_r=0.5564  n_iter=1135  wall=128.1s
  test_r=0.5559  n_iter=1073  wall=119.2s
  test_r=0.9817  n_iter=811  wall=87.4s
  test_r=0.9812  n_iter=790  wall=84.6s
  test_r=0.9823  n_iter=838  wall=91.1s
  test_r=0.9258  n_iter=1296  wall=148.6s
  test_r=0.9077  n_iter=1304  wall=142.2s
  test_r=0.9249  n_iter=1175  wall=133.0s
  test_r=0.8381  n_iter=477  wall=54.0s
  test_r=0.8529  n_iter=519  wall=58.7s
  test_r=0.8555  n_iter=544  wall=61.6s
  test_r=0.8420  n_iter=600  wall=69.9s
  test_r=0.8122  n_iter=736  wall=84.6s
  test_r=0.8191  n_iter=634  wall=72.2s
  test_r=0.6476  n_iter=637  wall=68.9s
  test_r=0.6424  n_iter=617  wall=66.7s
  test_r=0.6445  n_iter=645  wall=70.6s
  test_r=0.6753  n_iter=949  wall=105.2s
  test_r=0.6789  n_iter=916  wall=102.0s
  test_r=0.1910  n_iter=585  wall=66.8s
  test_r=0.6668  n_iter=701  wall=78.2s
  test_r=0.6675  n_iter=1020  wall=109.5s
  test_r=0.6657  n_iter=718  wall=79.8s
  test_r=0.8288  n_iter=485  wall=54.3s
  test_r=0.8313  n_iter=521  wall=58.3s
  test_r=0.8469  n_iter=445  wall=50.0s
  test_r=0.8891  n_iter=1500  wall=164.0s
  test_r=0.8634  n_iter=1405  wall=153.3s
  test_r=0.8921  n_iter=1500  wall=164.7s
  test_r=0.9057  n_iter=534  wall=59.0s
  test_r=0.9112  n_iter=702  wall=76.7s
  test_r=0.9106  n_iter=510  wall=56.9s
  test_r=0.9527  n_iter=394  wall=43.7s
  test_r=0.9565  n_iter=541  wall=60.0s
  test_r=0.9550  n_iter=534  wall=60.9s
  test_r=0.9290  n_iter=786  wall=88.9s
  test_r=0.9298  n_iter=742  wall=83.1s
  test_r=0.9675  n_iter=717  wall=80.2s
  test_r=0.9442  n_iter=729  wall=79.7s
  test_r=0.9291  n_iter=902  wall=99.1s
  test_r=0.9399  n_iter=943  wall=103.6s
  test_r=0.9176  n_iter=824  wall=90.5s
  test_r=0.9182  n_iter=921  wall=100.6s
  test_r=0.9054  n_iter=1100  wall=120.8s
  test_r=0.6182  n_iter=841  wall=93.1s
  test_r=0.6597  n_iter=829  wall=91.1s
  test_r=0.6863  n_iter=973  wall=106.1s
