cell,mode,ntrain,M,test_r,explained_var,time_s,final_A,final_lambda0
8,vargp_old,500,50,0.8413,0.8874,6.31,0.015626,-0.474763
8,vargp_direct,500,50,0.8442,0.8902,5.89,0.016157,-0.468667
8,default_gpy,500,50,0.8448,0.8918,3.75,0.015329,-0.482092
8,vargp_old,500,100,0.8692,0.9148,7.93,0.013596,-0.403664
8,vargp_direct,500,100,0.8678,0.9133,7.12,0.01393,-0.400465
8,default_gpy,500,100,0.8335,0.8807,3.88,0.017767,-0.496522
8,vargp_old,500,200,0.814,0.8562,10.35,0.015987,-0.301704
8,vargp_direct,500,200,0.8148,0.857,8.67,0.016149,-0.291963
8,default_gpy,500,200,0.8413,0.8878,4.49,0.019533,-0.510682
8,vargp_old,2000,50,0.8528,0.9013,10.51,0.011415,-0.382486
8,vargp_direct,2000,50,0.8549,0.9035,6.12,0.012067,-0.379276
8,default_gpy,2000,50,0.6045,0.6368,3.82,0.005948,-0.057181
8,vargp_old,2000,100,0.7669,0.809,12.89,0.010818,-0.223001
8,vargp_direct,2000,100,0.7649,0.8068,7.37,0.011568,-0.222766
8,default_gpy,2000,100,0.7209,0.7602,4.57,0.008579,-0.159783
8,vargp_old,2000,200,0.7351,0.7758,14.77,0.012876,-0.237174
8,vargp_direct,2000,200,0.7313,0.7717,8.27,0.013372,-0.238762
8,default_gpy,2000,200,0.6968,0.7352,5.42,0.009132,-0.15552
